"layer","signal_group","category","match_type","keyword_or_pattern","polarity","priority","notes"
"layer_2","job_positive","role","term","accountant","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","admin","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","administrative","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","administrator","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","advisor","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","agent","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","analista","positive","medium","Spanish/Portuguese analyst role keyword."
"layer_2","job_positive","role","term","analyst","positive","high","Common job title keyword."
"layer_2","job_positive","role","term","architect","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","assistant","positive","high","Common job title keyword."
"layer_2","job_positive","role","term","associate","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","auditor","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","barista","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","business controller","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","cashier","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","chef","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","clerk","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","consultant","positive","high","Common job title keyword."
"layer_2","job_positive","role","term","coordinator","positive","high","Common job title keyword."
"layer_2","job_positive","role","term","customer service rep","positive","high","Common fake/remote job title keyword."
"layer_2","job_positive","role","term","data entry","positive","high","Common job title and fake-job keyword."
"layer_2","job_positive","role","term","designer","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","developer","positive","high","Common job title keyword."
"layer_2","job_positive","role","term","director","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","draftsman","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","driver","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","editor","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","engineer","positive","high","Common job title keyword."
"layer_2","job_positive","role","term","executive","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","freelancer","positive","medium","Freelance job title keyword."
"layer_2","job_positive","role","term","guard","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","human resources","positive","high","HR role keyword."
"layer_2","job_positive","role","term","intern","positive","high","Common early-career job keyword."
"layer_2","job_positive","role","term","manager","positive","high","Common job title keyword."
"layer_2","job_positive","role","term","mechanic","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","nurse","positive","high","Common healthcare job keyword."
"layer_2","job_positive","role","term","officer","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","operator","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","payroll","positive","high","Common admin/payroll job keyword."
"layer_2","job_positive","role","term","project manager","positive","high","Common job title keyword."
"layer_2","job_positive","role","term","receptionist","positive","high","Common front-desk job title keyword."
"layer_2","job_positive","role","term","recruiter","positive","high","Hiring/recruitment role keyword."
"layer_2","job_positive","role","term","representative","positive","high","Common customer/sales title keyword."
"layer_2","job_positive","role","term","researcher","positive","medium","Common job title keyword; can be ambiguous in news."
"layer_2","job_positive","role","term","sales","positive","high","Common job function/title keyword."
"layer_2","job_positive","role","term","scientist","positive","medium","Common job title keyword; can be ambiguous in news."
"layer_2","job_positive","role","term","seo","positive","medium","Common marketing job title keyword."
"layer_2","job_positive","role","term","specialist","positive","high","Common job title keyword."
"layer_2","job_positive","role","term","supervisor","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","teacher","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","technician","positive","high","Common job title keyword."
"layer_2","job_positive","role","term","translator","positive","medium","Common job title keyword."
"layer_2","job_positive","role","term","underwriter","positive","medium","Common finance job title keyword."
"layer_2","job_positive","role","term","worker","positive","medium","Generic worker role keyword; needs supporting evidence."
"layer_2","job_positive","role","term","workers","positive","medium","Generic worker role keyword; needs supporting evidence."
"layer_2","job_positive","role","term","staff","positive","medium","Generic staff role keyword; needs supporting evidence."
"layer_2","job_positive","role","term","utviklere","positive","medium","Norwegian developer role keyword."
"layer_2","job_positive","role","term","work from home","positive","medium","Remote job phrase used as role signal when paired with jobs."
"layer_2","job_positive","role","term","writer","positive","medium","Common job title keyword."
"layer_2","job_positive","broad_role","term","head","positive","low","Broad title modifier; should not pass alone."
"layer_2","job_positive","broad_role","term","junior","positive","low","Broad title modifier; should not pass alone."
"layer_2","job_positive","broad_role","term","lead","positive","low","Broad title modifier; should not pass alone."
"layer_2","job_positive","broad_role","term","principal","positive","low","Broad title modifier; should not pass alone."
"layer_2","job_positive","broad_role","term","senior","positive","low","Broad title modifier; should not pass alone."
"layer_2","job_positive","broad_role","term","support","positive","low","Broad role/support signal; ambiguous outside jobs."
"layer_2","job_positive","hiring_action","term","applicant","positive","high","Hiring workflow keyword."
"layer_2","job_positive","hiring_action","term","applicants","positive","high","Hiring workflow keyword."
"layer_2","job_positive","hiring_action","term","apply","positive","high","Hiring workflow keyword."
"layer_2","job_positive","hiring_action","term","candidate","positive","high","Hiring workflow keyword; ambiguous in politics."
"layer_2","job_positive","hiring_action","term","candidates","positive","high","Hiring workflow keyword; ambiguous in politics."
"layer_2","job_positive","hiring_action","term","cv","positive","high","Hiring document keyword."
"layer_2","job_positive","hiring_action","term","hire","positive","high","Hiring workflow keyword."
"layer_2","job_positive","hiring_action","term","hiring","positive","high","Hiring workflow keyword."
"layer_2","job_positive","hiring_action","term","interview","positive","high","Hiring workflow keyword."
"layer_2","job_positive","hiring_action","term","join our","positive","high","Hiring invitation phrase."
"layer_2","job_positive","hiring_action","term","join us","positive","high","Hiring invitation phrase."
"layer_2","job_positive","hiring_action","term","recruit","positive","high","Hiring workflow keyword."
"layer_2","job_positive","hiring_action","term","recruiting","positive","high","Hiring workflow keyword."
"layer_2","job_positive","hiring_action","term","recruitment","positive","high","Hiring workflow keyword."
"layer_2","job_positive","hiring_action","term","resume","positive","high","Hiring document keyword."
"layer_2","job_positive","hiring_action","term","shortlisted","positive","medium","Hiring workflow keyword."
"layer_2","job_positive","job_phrase","regex","\babout (?:the |this )?role\b","positive","high","Explicit job-posting phrase."
"layer_2","job_positive","job_phrase","regex","\bapply for (?:it|this|the)?\s*(?:role|job|position)?\b","positive","high","Explicit application phrase."
"layer_2","job_positive","job_phrase","regex","\bcurrently (?:interviewing|seeking|hiring|looking for)\b","positive","high","Explicit hiring phrase."
"layer_2","job_positive","job_phrase","regex","\bseeks motivated\b","positive","high","Hiring phrase often used in job ads."
"layer_2","job_positive","job_phrase","regex","\bfull time permanent positions\b","positive","high","Employment phrase."
"layer_2","job_positive","job_phrase","regex","\bjob description\b","positive","high","Explicit JD phrase."
"layer_2","job_positive","job_phrase","regex","\bjob for freelancer\b","positive","medium","Freelance-job phrase."
"layer_2","job_positive","job_phrase","regex","\bjoin (?:our|the|its) (?:team|company)\b","positive","high","Hiring invitation phrase."
"layer_2","job_positive","job_phrase","regex","\blooking for\b","positive","medium","Common hiring phrase; ambiguous in forums."
"layer_2","job_positive","job_phrase","regex","\bposition summary\b","positive","high","Structured JD phrase."
"layer_2","job_positive","job_phrase","regex","\brequired skills\b","positive","high","Structured JD phrase."
"layer_2","job_positive","job_phrase","regex","\bresponsibilities include\b","positive","high","Structured JD phrase."
"layer_2","job_positive","job_phrase","regex","\bthe ideal candidate\b","positive","high","Candidate profile phrase."
"layer_2","job_positive","job_phrase","regex","\bthe successful candidate\b","positive","high","Candidate profile phrase."
"layer_2","job_positive","job_phrase","regex","\bthis position\b","positive","high","Job-reference phrase."
"layer_2","job_positive","job_phrase","regex","\bthis role\b","positive","high","Job-reference phrase."
"layer_2","job_positive","job_phrase","regex","\bwe (?:are|re|'re)?\s*(?:seeking|hiring|looking for)\b","positive","high","Explicit hiring phrase."
"layer_2","job_positive","job_phrase","regex","\bwe need\b","positive","medium","Can indicate hiring; needs supporting evidence."
"layer_2","job_positive","job_phrase","regex","\bwhat you(?:'ll| will) do\b","positive","high","Structured JD phrase."
"layer_2","job_positive","job_phrase","regex","\bwork from home jobs\b","positive","high","Remote/fake-job relevant phrase."
"layer_2","job_positive","job_phrase","regex","\bpart time staff wanted\b","positive","high","Short job-ad phrase."
"layer_2","job_positive","job_phrase","regex","\bworkers needed\b","positive","high","Short job-ad phrase."
"layer_2","job_positive","job_phrase","regex","\burgent jobs\b","positive","medium","Short job-ad phrase."
"layer_2","job_positive","job_phrase","regex","\bcash pay jobs\b","positive","medium","Short job-ad phrase."
"layer_2","job_positive","job_phrase","regex","\bjoin the staff\b","positive","high","Hiring phrase."
"layer_2","job_positive","job_phrase","regex","\bvi s ker\b","positive","high","Norwegian hiring phrase after ASCII normalization."
"layer_2","job_positive","job_phrase","regex","\bflere kollegaer\b","positive","medium","Norwegian hiring phrase after ASCII normalization."
"layer_2","job_positive","job_phrase","regex","\bkomme i kontakt med deg\b","positive","medium","Norwegian hiring phrase after ASCII normalization."
"layer_2","job_positive","responsibilities","term","assist","positive","medium","Responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","build","positive","medium","Responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","coordinate","positive","medium","Responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","create","positive","medium","Responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","deliver","positive","medium","Responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","design","positive","medium","Responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","develop","positive","medium","Responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","duties","positive","high","Structured JD field keyword."
"layer_2","job_positive","responsibilities","term","handle","positive","medium","Responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","implement","positive","medium","Responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","maintain","positive","medium","Responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","manage","positive","medium","Responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","perform","positive","medium","Responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","prepare","positive","medium","Responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","provide","positive","medium","Responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","responsibilities","positive","high","Structured JD field keyword."
"layer_2","job_positive","responsibilities","term","responsible for","positive","high","Structured JD phrase."
"layer_2","job_positive","responsibilities","term","work with","positive","medium","Responsibility/action phrase."
"layer_2","job_positive","responsibilities","term","coordinar","positive","medium","Spanish responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","actualizar","positive","medium","Spanish responsibility/action keyword."
"layer_2","job_positive","responsibilities","term","manejo de proveedores","positive","medium","Spanish responsibility/action phrase."
"layer_2","job_positive","requirements","term","ability to","positive","high","Requirement phrase."
"layer_2","job_positive","requirements","term","bachelor","positive","medium","Education requirement keyword."
"layer_2","job_positive","requirements","term","certification","positive","medium","Credential requirement keyword."
"layer_2","job_positive","requirements","term","degree","positive","medium","Education requirement keyword."
"layer_2","job_positive","requirements","term","diploma","positive","medium","Education requirement keyword."
"layer_2","job_positive","requirements","term","education","positive","medium","Education requirement keyword."
"layer_2","job_positive","requirements","term","excellent communication","positive","medium","Skill/requirement phrase."
"layer_2","job_positive","requirements","term","experience with","positive","high","Experience requirement phrase."
"layer_2","job_positive","requirements","term","minimum","positive","medium","Requirement phrase."
"layer_2","job_positive","requirements","term","must be","positive","high","Requirement phrase."
"layer_2","job_positive","requirements","term","must have","positive","high","Requirement phrase."
"layer_2","job_positive","requirements","term","preferred","positive","medium","Requirement phrase."
"layer_2","job_positive","requirements","term","qualification","positive","high","Structured JD field keyword."
"layer_2","job_positive","requirements","term","qualifications","positive","high","Structured JD field keyword."
"layer_2","job_positive","requirements","term","required","positive","high","Requirement phrase."
"layer_2","job_positive","requirements","term","requirements","positive","high","Structured JD field keyword."
"layer_2","job_positive","requirements","term","training","positive","medium","Requirement/training keyword."
"layer_2","job_positive","requirements","term","years of experience","positive","high","Experience requirement phrase."
"layer_2","job_positive","requirements","term","experiencia","positive","high","Spanish experience requirement keyword."
"layer_2","job_positive","requirements","term","conocimiento","positive","medium","Spanish knowledge requirement keyword."
"layer_2","job_positive","requirements","term","dominio","positive","medium","Spanish proficiency requirement keyword."
"layer_2","job_positive","requirements","term","capacitaci n","positive","medium","Spanish training requirement keyword after ASCII normalization."
"layer_2","job_positive","requirements","term","reclutamiento","positive","medium","Spanish recruiting requirement keyword."
"layer_2","job_positive","skills","term",".net","positive","medium","Technical skill keyword."
"layer_2","job_positive","skills","term","android","positive","medium","Technical skill keyword."
"layer_2","job_positive","skills","term","c#","positive","medium","Technical skill keyword."
"layer_2","job_positive","skills","term","cloud","positive","medium","Technical skill keyword."
"layer_2","job_positive","skills","term","communication skills","positive","medium","Soft skill phrase."
"layer_2","job_positive","skills","term","customer service","positive","high","Common service job skill."
"layer_2","job_positive","skills","term","database","positive","medium","Technical skill keyword."
"layer_2","job_positive","skills","term","development","positive","medium","Technical skill keyword."
"layer_2","job_positive","skills","term","recursos humanos","positive","high","Spanish HR job-domain keyword."
"layer_2","job_positive","skills","term","selecci n de personal","positive","medium","Spanish recruiting/HR keyword after ASCII normalization."
"layer_2","job_positive","skills","term","desarrollo organizacional","positive","medium","Spanish HR/organization-development keyword."
"layer_2","job_positive","skills","term","asesor a","positive","medium","Spanish advisory/consulting keyword after ASCII normalization."
"layer_2","job_positive","skills","term","ios","positive","medium","Technical skill keyword."
"layer_2","job_positive","skills","term","java","positive","medium","Technical skill keyword."
"layer_2","job_positive","skills","term","javascript","positive","medium","Technical skill keyword."
"layer_2","job_positive","skills","term","knowledge of","positive","medium","Skill phrase."
"layer_2","job_positive","skills","term","linux","positive","medium","Technical skill keyword."
"layer_2","job_positive","skills","term","marketing","positive","medium","Business skill/function keyword."
"layer_2","job_positive","skills","term","mobile","positive","medium","Technical skill keyword."
"layer_2","job_positive","skills","term","programming","positive","medium","Technical skill keyword."
"layer_2","job_positive","skills","term","project management","positive","medium","Business/technical skill phrase."
"layer_2","job_positive","skills","term","python","positive","medium","Technical skill keyword."
"layer_2","job_positive","skills","term","software","positive","medium","Technical skill keyword."
"layer_2","job_positive","skills","term","sql","positive","medium","Technical skill keyword."
"layer_2","job_positive","skills","term","technical","positive","medium","Technical skill keyword."
"layer_2","job_positive","employment_type","term","contract","positive","medium","Employment type keyword."
"layer_2","job_positive","employment_type","term","full time","positive","high","Employment type keyword."
"layer_2","job_positive","employment_type","term","full-time","positive","high","Employment type keyword."
"layer_2","job_positive","employment_type","term","internship","positive","high","Employment type keyword."
"layer_2","job_positive","employment_type","term","part time","positive","high","Employment type keyword."
"layer_2","job_positive","employment_type","term","part-time","positive","high","Employment type keyword."
"layer_2","job_positive","employment_type","term","permanent","positive","medium","Employment type keyword."
"layer_2","job_positive","employment_type","term","temporary","positive","medium","Employment type keyword."
"layer_2","job_positive","compensation","term","benefit","positive","medium","Compensation/benefits keyword."
"layer_2","job_positive","compensation","term","benefits","positive","medium","Compensation/benefits keyword."
"layer_2","job_positive","compensation","term","compensation","positive","medium","Compensation keyword."
"layer_2","job_positive","compensation","term","pay","positive","medium","Compensation keyword."
"layer_2","job_positive","compensation","term","salary","positive","high","Compensation keyword."
"layer_2","job_positive","compensation","term","wage","positive","medium","Compensation keyword."
"layer_2","job_positive","location","term","based in","positive","medium","Location phrase."
"layer_2","job_positive","location","term","hybrid","positive","medium","Work location keyword."
"layer_2","job_positive","location","term","location","positive","medium","Location keyword."
"layer_2","job_positive","location","term","office","positive","low","Location/workplace keyword; ambiguous."
"layer_2","job_positive","location","term","on-site","positive","medium","Work location keyword."
"layer_2","job_positive","location","term","onsite","positive","medium","Work location keyword."
"layer_2","job_positive","location","term","remote","positive","high","Remote-work keyword."
"layer_2","job_positive","company","term","agency","positive","medium","Employer/company keyword."
"layer_2","job_positive","company","term","company","positive","medium","Employer/company keyword."
"layer_2","job_positive","company","term","employer","positive","medium","Employer/company keyword."
"layer_2","job_positive","company","term","firm","positive","medium","Employer/company keyword."
"layer_2","job_positive","company","term","organisation","positive","medium","Employer/company keyword."
"layer_2","job_positive","company","term","organization","positive","medium","Employer/company keyword."
"layer_2","non_job_negative","news_or_article","regex","\((?:ap|afp|reuters)\)","negative","high","Newswire marker."
"layer_2","non_job_negative","news_or_article","regex","\b(?:ap|afp|reuters)\s+-","negative","high","Newswire marker."
"layer_2","non_job_negative","news_or_article","regex","\baccording to\b","negative","medium","Article/news phrase."
"layer_2","non_job_negative","news_or_article","regex","\barticle\b","negative","medium","Article/forum phrase."
"layer_2","non_job_negative","news_or_article","regex","\bbusinessweek online\b","negative","high","News/source marker."
"layer_2","non_job_negative","news_or_article","regex","\belection\b","negative","medium","Political/news topic."
"layer_2","non_job_negative","news_or_article","regex","\bgovernment\b","negative","medium","Political/news topic."
"layer_2","non_job_negative","news_or_article","regex","\bminister\b","negative","medium","Political/news topic."
"layer_2","non_job_negative","news_or_article","regex","\bopposition candidate\b","negative","high","Political candidate context, not hiring."
"layer_2","non_job_negative","news_or_article","regex","\bparliament\b","negative","medium","Political/news topic."
"layer_2","non_job_negative","news_or_article","regex","\bpresident\b","negative","medium","Political/news topic."
"layer_2","non_job_negative","news_or_article","regex","\breport:\b","negative","medium","News headline marker."
"layer_2","non_job_negative","news_or_article","regex","\bstocks:","negative","high","Financial-news marker."
"layer_2","non_job_negative","news_or_article","regex","\bdelta ceo declines pay\b","negative","high","Specific financial-news headline pattern."
"layer_2","non_job_negative","news_or_article","regex","\bjet propulsion lab\b","negative","high","Science-news source marker."
"layer_2","non_job_negative","news_or_article","regex","\bmore southampton stories\b","negative","high","Sports-news marker."
"layer_2","non_job_negative","news_or_article","regex","\bstock market\b","negative","high","Financial-news marker."
"layer_2","non_job_negative","forum_or_discussion","regex","^\s*>","negative","high","Quoted forum/email text."
"layer_2","non_job_negative","forum_or_discussion","regex","\bexcerpts from netnews\b","negative","high","Forum/newsgroup marker."
"layer_2","non_job_negative","forum_or_discussion","regex","\bfrom the article\b","negative","high","Forum/article quote marker."
"layer_2","non_job_negative","forum_or_discussion","regex","\bin article\s+<","negative","high","Newsgroup marker."
"layer_2","non_job_negative","forum_or_discussion","regex","\bnewsgroup\b","negative","high","Forum/newsgroup marker."
"layer_2","non_job_negative","forum_or_discussion","regex","\bsays:\s*$","negative","high","Forum quote marker."
