sample_id,title,company,original_label,predicted_label,fraud_probability,threshold,error_type,text_preview
emscad_00002,[TITLE] Customer Service - Cloud Video Production,,0,0,0.0003726482391357422,0.99,correct,"[TITLE] Customer Service - Cloud Video Production [COMPANY PROFILE] 90 Seconds, the worlds Cloud Video Production Service. [DESCRIPTION] 90 Seconds is the worlds Cloud Video Production Service enabling brands and agencies to get high quality online video content shot and produced anywhere in the wor"
emscad_00006,[TITLE] Accounting Clerk,,0,0,0.0014410018920898438,0.99,correct,"[TITLE] Accounting Clerk [COMPANY PROFILE] Job Overview [DESCRIPTION] Apex is an environmental consulting firm that offers stable leadership and growth and views employees as valuable resources. We are seeking a self-motivated, multi-faceted Accounts Payable Clerk to join our team in Rockville, MD a"
emscad_00008,[TITLE] Lead Guest Service Specialist,,0,0,0.00020110607147216797,0.99,correct,[TITLE] Lead Guest Service Specialist [COMPANY PROFILE] Airenvy’s mission is to provide lucrative yet hassle free full service short term property management all around the world. We combine the charm of your home with the amenities of a boutique hotel. [DESCRIPTION] Currently the short-term rental 
emscad_00010,[TITLE] Customer Service Associate - Part Time,,0,0,0.00013136863708496094,0.99,correct,"[TITLE] Customer Service Associate - Part Time [COMPANY PROFILE] Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivi"
emscad_00012,[TITLE] Talent Sourcer (6 months fixed-term contract),,0,0,0.0001888275146484375,0.99,correct,[TITLE] Talent Sourcer (6 months fixed-term contract) [COMPANY PROFILE] Want to build a 21st century financial service? [DESCRIPTION] We're convinced that that there is a need for innovation in financial services and that current banks will not be the ones providing this. Instead this innovation wil
emscad_00014,[TITLE] Installers,,0,0,0.0002694129943847656,0.99,correct,"[TITLE] Installers [COMPANY PROFILE] Growing event production company providing staging, scenic, and drapery primarily in the state of Florida. We have a secondary location in Las Vegas and will soon be adding a third location in Southeast Florida. We are a small team passionate about creating high "
emscad_00017,[TITLE] Hands-On QA Leader,,0,0,0.0002065896987915039,0.99,correct,"[TITLE] Hands-On QA Leader [COMPANY PROFILE] At HoneyBook we’re re-imagining the events industry and building a product that is already changing the world for some of the top event planning celebrities in the nation. We’re a well-funded and growing team of 20, passionate about creating the happiest "
emscad_00022,[TITLE] Front End Developer,,0,0,0.00031876564025878906,0.99,correct,[TITLE] Front End Developer [COMPANY PROFILE] Frustrated with the status quo? [DESCRIPTION] Like to re-imagine whats possible? Want to build awesome products? Then do something about it! Teknique is moving into a new phase of company growth - and we're looking for top notch people who want to be inv
emscad_00023,[TITLE] Engagement Manager,,0,0,0.00015842914581298828,0.99,correct,[TITLE] Engagement Manager [COMPANY PROFILE] Upstream’s mission is to revolutionise the way companies market to consumers through cutting edge technology. This is an opportunity to collaborate with like-minded people in an environment that embraces individual differences and diversity. [DESCRIPTION]
emscad_00039,[TITLE] Art Director,,0,0,0.0002758502960205078,0.99,correct,"[TITLE] Art Director [COMPANY PROFILE] We're an emerging technology agency, and we build breakthrough products through user-centered design. We're building a team of the brightest minds in creative, engineering, and business because we love working with smart people. [DESCRIPTION] You love clients a"
emscad_00055,[TITLE] Outside Sales Professional-St. Cloud,,0,0,0.00035762786865234375,0.99,correct,"[TITLE] Outside Sales Professional-St. Cloud [COMPANY PROFILE] ABC Supply Co., Inc. is the nation’s largest wholesale distributor of roofing and one of the largest distributors of siding, windows, and other exterior building products. Since our start in 1982, we've grown to become a national organiz"
emscad_00056,[TITLE] Junior HR Marketing Manager,,0,0,0.00030112266540527344,0.99,correct,"[TITLE] Junior HR Marketing Manager [COMPANY PROFILE] We are Netguru and we love to develop web application based on Ruby On Rails framework. We value quality, transparent communication and passion for work. [DESCRIPTION] We are Netguru and we love to develop web applications based on Ruby On Rails "
emscad_00061,[TITLE] Graduates: English Teacher Abroad (Conversational),,0,0,0.00015473365783691406,0.99,correct,"[TITLE] Graduates: English Teacher Abroad (Conversational) [COMPANY PROFILE] We help teachers get safe & secure jobs abroad :) [DESCRIPTION] Play with kids, get paid for it :-) Love travel? Openings in China [REQUIREMENTS] $1500 USD + monthly ($200 Cost of living) Housing provided Airfare Reimbursed"
emscad_00073,[TITLE] Customer Service Associate - Part Time,,0,0,0.00013446807861328125,0.99,correct,"[TITLE] Customer Service Associate - Part Time [COMPANY PROFILE] Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivi"
emscad_00075,[TITLE] Call Attendant - Part Time,,0,0,0.00013554096221923828,0.99,correct,"[TITLE] Call Attendant - Part Time [COMPANY PROFILE] Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce c"
emscad_00078,[TITLE] Mid-Senior .NET or Xamarin Developer,,0,0,0.0004382133483886719,0.99,correct,"[TITLE] Mid-Senior .NET or Xamarin Developer [COMPANY PROFILE] DataFinch Technologies is the leader in electronic data collection for the Autism and Special education fields. We have created a revolutionary, one of a kind, software product targeting: schools, physicians, in-home autism providers and"
emscad_00079,[TITLE] 200K + MANAGEMENT POSITION FOR EXPERIENCED MERCHANT CASH ADVANCE REPS,,0,0,0.00443267822265625,0.99,correct,"[TITLE] 200K + MANAGEMENT POSITION FOR EXPERIENCED MERCHANT CASH ADVANCE REPS [COMPANY PROFILE] Our name is not in this ad to prevent us from showing up in Google indexing under our company name, which would then let our existing and potential clients know how much commission we all make. What a dis"
emscad_00090,[TITLE] English Teacher Abroad,,0,0,0.00014257431030273438,0.99,correct,"[TITLE] English Teacher Abroad [COMPANY PROFILE] We help teachers get safe & secure jobs abroad :) [DESCRIPTION] Play with kids, get paid for it Love travel? Jobs in Asia $1,500+ USD monthly ($200 Cost of living) [REQUIREMENTS] Housing provided (Private/Furnished) Airfare Reimbursed Excellent for st"
