sample_id,title,company,original_label,predicted_label,fraud_probability,threshold,error_type,text_preview
emscad_00017,Hands-On QA Leader,At HoneyBook we’re re-imagining the events industry and building a product that is already changing the world for some o,0,0,7.599592208862305e-05,0.3,correct,"Hands-On QA Leader At HoneyBook we’re re-imagining the events industry and building a product that is already changing the world for some of the top event planning celebrities in the nation. We’re a well-funded and growing team of 20, passionate about creating the happiest customers in the world. In"
emscad_00033,Craftsman Associate,"We are an award-winning team of professionals, providing the very best value for glass shower enclosures, designer close",0,0,0.00012290477752685547,0.3,correct,"Craftsman Associate We are an award-winning team of professionals, providing the very best value for glass shower enclosures, designer closets, storefronts, glazing, and mirrors in Western Washington, with world class service and quality that are both Faster & Better. AAA KARTAK is family owned and "
emscad_00035,I Want To Work At Karmarama,"At Karmarama we have a unique hiring policy: nice, talented and decent people who genuinely want to do what's right for ",0,0,8.124113082885742e-05,0.3,correct,"I Want To Work At Karmarama At Karmarama we have a unique hiring policy: nice, talented and decent people who genuinely want to do what's right for their clients. Or 'keine wixer bitte' as our German friends say.   We believe in good works. We put our clients at the heart of everything we do and onl"
emscad_00036,English Teacher Abroad,We help teachers get safe & secure jobs abroad :),0,0,4.07099723815918e-05,0.3,correct,"English Teacher Abroad We help teachers get safe & secure jobs abroad :) Play with kids, get paid for it   Love travel? Jobs in Asia   $1,500+ USD monthly ($200 Cost of living)   Housing provided (Private/Furnished) Airfare Reimbursed Excellent for student loans/credit cards   Gabriel Adkins : #URL_"
emscad_00037,Graduates: English Teacher Abroad,We help teachers get safe & secure jobs abroad :),0,0,3.898143768310547e-05,0.3,correct,"Graduates: English Teacher Abroad We help teachers get safe & secure jobs abroad :) Play with kids, get paid for it :-)   Love travel? Jobs in Asia   $1500 USD + monthly ($200 Cost of living)   Housing provided Airfare Reimbursed Excellent for student loans/credit cards   Gabriel Adkins : #URL_ed909"
emscad_00045,Customer Service Team Lead,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications",0,0,4.887580871582031e-05,0.3,correct,"Customer Service Team Lead Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer "
emscad_00049,English Teacher Abroad,We help teachers get safe & secure jobs abroad :),0,0,4.07099723815918e-05,0.3,correct,"English Teacher Abroad We help teachers get safe & secure jobs abroad :) Play with kids, get paid for it   Love travel? Jobs in Asia   $1,500+ USD monthly ($200 Cost of living)   Housing provided (Private/Furnished) Airfare Reimbursed Excellent for student loans/credit cards   Gabriel Adkins : #URL_"
emscad_00051,"Food Production Manager @ PGI, a Food Production Company",PGI is a fast growing organic herb/spice/botanicals importing and production company that utilizes extensive food safety,0,0,8.612871170043945e-05,0.3,correct,"Food Production Manager @ PGI, a Food Production Company PGI is a fast growing organic herb/spice/botanicals importing and production company that utilizes extensive food safety, handling and management practices to insure a quality product. November, 2014   Pure Ground Ingredients (PGI) in Carson C"
emscad_00054,Technical Project Manager,GBI is a growing company developing several cutting edge systems in the financial industry. We are set to embark on a fe,0,0,0.00011146068572998047,0.3,correct,"Technical Project Manager GBI is a growing company developing several cutting edge systems in the financial industry. We are set to embark on a few exciting new integrations with new partners, and are seeking individuals to lead and execute on these new projects, from design to implementation to sup"
emscad_00072,Branch Associate,Outstanding Member Service Starts With Outstanding People,0,0,8.124113082885742e-05,0.3,correct,"Branch Associate Outstanding Member Service Starts With Outstanding People   If you are committed to the concept of “above and beyond” and enjoy interacting with people either in person or on the telephone, then we want to talk to you.   Our people are our most valuable asset. We recognize their val"
