sample_id,title,company,original_label,predicted_label,fraud_probability,threshold,error_type,text_preview
emscad_00011,"ASP.net Developer Job opportunity at United States,New Jersey",Position : #URL_86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd# Developer Job Location :United States-,0,0,0.001461029052734375,0.05,correct|near_threshold,"ASP.net Developer Job opportunity at United States,New Jersey Position : #URL_86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd# Developer Job Location :United States-New Jersey-Jersey City Us work status required : EAD / Green Card / US Citizens Detailed Description #URL_86fd830a95a6"
emscad_00014,Installers,"Growing event production company providing staging, scenic, and drapery primarily in the state of Florida. We have a sec",0,0,0.0008087158203125,0.05,correct|near_threshold,"Installers Growing event production company providing staging, scenic, and drapery primarily in the state of Florida. We have a secondary location in Las Vegas and will soon be adding a third location in Southeast Florida. We are a small team passionate about creating high quality events and providi"
emscad_00020,Process Controls Engineer - DCS PLC MS Office - PA,We Provide Full Time Permanent Positions for many medium to large US companies. We are interested in finding/recruiting ,0,0,0.0010709762573242188,0.05,correct|near_threshold,"Process Controls Engineer - DCS PLC MS Office - PA We Provide Full Time Permanent Positions for many medium to large US companies. We are interested in finding/recruiting high quality candidates in IT, Engineering, Manufacturing and other highly technical and non-technical jobs. Experienced Process "
emscad_00022,Front End Developer,Frustrated with the status quo?,0,0,0.0009112358093261719,0.05,correct|near_threshold,Front End Developer Frustrated with the status quo?   Like to re-imagine whats possible?   Want to build awesome products?   Then do something about it!   Teknique is moving into a new phase of company growth - and we're looking for top notch people who want to be involved in something awesome!   Wh
emscad_00027,Marketing Exec,If working in a cubical seems like your idea of hell then joining our awesome startup team might be the opportunity you’,0,0,0.0007643699645996094,0.05,correct|near_threshold,"Marketing Exec If working in a cubical seems like your idea of hell then joining our awesome startup team might be the opportunity you’ve been waiting for.   Come join the TradeGecko team, we’re a Singapore head-quartered company, we’re ventured backed and we’re growing fast.   Our team comes from a"
emscad_00036,English Teacher Abroad,We help teachers get safe & secure jobs abroad :),0,0,0.0007481575012207031,0.05,correct|near_threshold,"English Teacher Abroad We help teachers get safe & secure jobs abroad :) Play with kids, get paid for it   Love travel? Jobs in Asia   $1,500+ USD monthly ($200 Cost of living)   Housing provided (Private/Furnished) Airfare Reimbursed Excellent for student loans/credit cards   Gabriel Adkins : #URL_"
emscad_00045,Customer Service Team Lead,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications",0,0,0.0005679130554199219,0.05,correct|near_threshold,"Customer Service Team Lead Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer "
emscad_00055,Outside Sales Professional-St. Cloud,"ABC Supply Co., Inc. is the nation’s largest wholesale distributor of roofing and one of the largest distributors of sid",0,0,0.001026153564453125,0.05,correct|near_threshold,"Outside Sales Professional-St. Cloud ABC Supply Co., Inc. is the nation’s largest wholesale distributor of roofing and one of the largest distributors of siding, windows, and other exterior building products. Since our start in 1982, we've grown to become a national organization with over 450 locati"
emscad_00056,Junior HR Marketing Manager,"We are Netguru and we love to develop web application based on Ruby On Rails framework. We value quality, transparent co",0,0,0.0004973411560058594,0.05,correct|near_threshold,"Junior HR Marketing Manager We are Netguru and we love to develop web application based on Ruby On Rails framework. We value quality, transparent communication and passion for work. We are Netguru and we love to develop web applications based on Ruby On Rails framework. We value quality, transparent"
emscad_00065,SENIOR FINANCE SOFTWARE RESEARCHER AND ENGINEER,"DUTIES: Conduct research for building technical, statistical, algorithmic and math models",0,0,0.011474609375,0.05,correct|near_threshold,"SENIOR FINANCE SOFTWARE RESEARCHER AND ENGINEER DUTIES: Conduct research for building technical, statistical, algorithmic and math models   to perform stocks, options and futures markets analysis, and implementing those models as   software products that help to improve company clients’ stock and op"
emscad_00066,Digital Developer,"TELL is a digital creative agency. It’s not just who you know, it’s how you get to know them. We live in what we call th",0,0,0.0004737377166748047,0.05,correct|near_threshold,"Digital Developer TELL is a digital creative agency. It’s not just who you know, it’s how you get to know them. We live in what we call the Age of Connection. With digital tools and technology and the explosion of social media, people have interpersonal connections and – more importantly for you – c"
