sample_id,title,company,original_label,predicted_label,fraud_probability,threshold,error_type,text_preview
emscad_00002,Customer Service - Cloud Video Production,"90 Seconds, the worlds Cloud Video Production Service.",0,0,6.401538848876953e-05,0.4,correct,"Customer Service - Cloud Video Production 90 Seconds, the worlds Cloud Video Production Service.   90 Seconds is the worlds Cloud Video Production Service enabling brands and agencies to get high quality online video content shot and produced anywhere in the world. 90 Seconds makes video production "
emscad_00005,Bill Review Manager,"SpotSource Solutions LLC is a Global Human Capital Management Consulting firm headquartered in Miami, Florida. Founded i",0,0,7.903575897216797e-05,0.4,correct,"Bill Review Manager SpotSource Solutions LLC is a Global Human Capital Management Consulting firm headquartered in Miami, Florida. Founded in January 2012, SpotSource has created a fusion of innovative service offerings to meet the increasing demand of today’s economy. We specialize in Talent Acquis"
emscad_00006,Accounting Clerk,Job Overview,0,0,9.244680404663086e-05,0.4,correct,"Accounting Clerk Job Overview   Apex is an environmental consulting firm that offers stable leadership and growth and views employees as valuable resources. We are seeking a self-motivated, multi-faceted Accounts Payable Clerk to join our team in Rockville, MD and become an integral part of our cont"
emscad_00011,"ASP.net Developer Job opportunity at United States,New Jersey",Position : #URL_86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd# Developer Job Location :United States-,0,0,0.0001043081283569336,0.4,correct,"ASP.net Developer Job opportunity at United States,New Jersey Position : #URL_86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd# Developer Job Location :United States-New Jersey-Jersey City Us work status required : EAD / Green Card / US Citizens Detailed Description #URL_86fd830a95a6"
emscad_00019,Visual Designer,Kettle is an independent digital agency based in New York City and the Bay Area. We’re committed to making digital do mo,0,0,7.05718994140625e-05,0.4,correct,"Visual Designer Kettle is an independent digital agency based in New York City and the Bay Area. We’re committed to making digital do more — for both people and brands — because we believe the digital world offers more than meets the eye. Every online experience has the potential to change a life, a"
emscad_00030,Customer Service Associate,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications",0,0,6.681680679321289e-05,0.4,correct,"Customer Service Associate Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer "
emscad_00039,Art Director,"We're an emerging technology agency, and we build breakthrough products through user-centered design. We're building a t",0,0,6.681680679321289e-05,0.4,correct,"Art Director We're an emerging technology agency, and we build breakthrough products through user-centered design. We're building a team of the brightest minds in creative, engineering, and business because we love working with smart people. You love clients and getting to be a conduit for communica"
emscad_00043,Jr. Developer,"Entry level Software Developer Location : Atlanta, Georgia Experience : 1-2 years",0,0,0.00027370452880859375,0.4,correct,"Jr. Developer Entry level Software Developer Location : Atlanta, Georgia Experience : 1-2 years   Experience in a production web environment implementing mission critical services. Development of Web Server side PHP in LAMP environments Having experience with XHTML / CSS/ Javascript ia a plus, Knowl"
emscad_00044,Customer Service Associate Receptionist,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications",0,0,6.502866744995117e-05,0.4,correct,"Customer Service Associate Receptionist Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and impr"
emscad_00047,Entry Level,History & Background,0,1,0.7587890625,0.4,false_positive,"Entry Level History & Background   The Bank started its activities in Feb. 1985 at the time when the economic arena was characterized by major developments, a matter which gave the bank mission special significance, as Egypt was suffering at that time from great pressures on its balance of payments."
